FFT0,FFT1,FFT2,FFT3,FFT4,BEAT
91,44,28,32,30,0
20,13,28,23,23,0
12,9,27,19,16,0
16,16,26,20,17,0
0,1,14,16,14,0
32,18,14,15,11,0
0,0,17,15,10,0
17,9,10,11,9,0
14,16,14,11,8,0
0,0,17,10,10,0
0,0,16,5,6,0
0,0,14,5,5,0
0,0,14,7,4,0
40,17,6,4,2,0
0,0,7,5,3,0
0,0,1,3,1,0
0,4,0,0,0,0
0,0,0,0,0,0
3,2,10,0,0,0
0,1,3,0,0,0
0,0,0,0,2,0
0,0,2,0,0,0
0,0,3,6,0,0
0,0,2,4,0,0
6,3,0,1,0,0
0,0,0,6,0,0
0,0,0,0,0,0
10,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,8,0,1,5,0
0,0,2,0,0,0
0,0,10,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,1,0,0,0
0,1,8,0,0,0
0,0,0,0,0,0
10,6,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
6,3,2,0,0,0
0,0,0,0,0,0
0,4,9,4,0,0
0,2,7,1,0,0
0,0,0,3,0,0
0,0,3,8,2,0
10,3,0,1,0,0
0,0,0,0,0,0
5,5,1,2,0,0
0,0,10,3,0,0
0,4,0,4,4,0
3,0,10,6,3,0
1,0,14,2,0,0
0,0,8,3,1,0
0,0,0,4,19,0
0,8,15,3,9,0
8,0,6,0,4,0
0,0,4,1,3,0
1,4,0,3,0,0
4,0,0,5,12,0
0,0,0,4,18,0
16,10,0,0,8,0
36,14,4,2,2,0
41,15,2,4,0,0
7,0,0,8,0,0
0,0,0,5,0,0
37,11,0,4,0,0
3,4,7,0,0,0
14,6,6,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
11,1,3,4,0,0
14,1,0,0,0,0
0,1,0,0,0,0
6,0,0,0,0,0
0,0,0,0,0,0
18,13,0,0,0,0
27,5,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
29,14,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14,13,0,0,0,0
1,2,0,0,2,0
0,0,0,1,3,0
0,0,0,0,3,0
14,6,0,1,7,0
0,0,4,11,11,0
0,0,3,4,4,0
0,0,1,4,2,0
0,0,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,1,0
0,0,0,0,1,0
0,0,0,0,3,0
0,0,0,0,3,0
0,10,0,0,0,0
0,0,0,0,0,0
0,8,5,0,2,0
1,6,3,0,3,0
5,5,0,0,6,0
2,5,0,0,3,0
0,7,0,0,3,0
0,6,0,4,4,0
0,0,0,0,2,0
0,6,0,0,2,0
0,0,0,1,3,0
0,5,0,5,5,0
0,7,1,0,0,0
3,5,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,0,0,0,0,0
0,0,0,0,2,0
0,0,0,0,2,0
0,0,0,0,0,0
3,0,1,0,0,0
3,0,0,0,0,0
5,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
6,2,0,0,0,0
1,0,0,0,0,0
2,2,1,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,4,0,0,0
13,10,6,0,0,0
0,0,5,5,0,0
0,0,0,7,1,1
14,0,2,4,1,0
20,4,1,16,4,0
81,37,12,8,5,0
19,14,10,14,12,0
38,15,1,14,10,0
95,34,0,9,10,0
17,27,11,8,13,0
57,45,7,12,12,0
0,0,11,4,7,0
0,0,6,5,6,0
78,21,0,0,2,0
75,22,0,0,5,0
65,21,0,1,8,0
29,11,0,0,9,0
35,2,1,0,6,0
11,0,0,2,4,0
70,25,0,2,5,0
62,22,0,2,8,0
31,0,0,4,10,1
0,0,0,0,1,0
0,0,0,0,0,0
13,5,0,0,0,0
0,7,0,0,1,0
13,18,0,1,3,1
0,0,0,0,0,0
0,0,0,0,0,0
27,3,0,0,0,0
25,10,0,1,0,0
20,0,0,3,2,0
0,0,0,2,12,0
0,0,0,0,0,0
0,0,0,0,0,0
45,14,0,0,3,0
57,21,0,0,3,0
12,0,0,4,5,0
8,2,2,3,0,0
0,2,5,0,0,0
0,0,1,0,0,0
0,19,0,6,0,0
0,1,2,9,1,0
51,10,1,9,0,1
0,0,0,0,0,0
0,0,0,0,0,0
31,6,0,5,2,0
21,6,1,4,5,0
15,4,3,3,6,0
0,0,0,1,3,0
0,0,0,0,0,0
30,9,0,0,0,0
22,6,0,0,0,0
39,6,0,0,1,0
16,15,1,1,0,0
0,0,2,0,0,0
0,0,0,0,0,0
0,11,6,0,0,0
29,4,3,4,0,0
51,9,2,0,0,0
0,0,0,13,28,0
0,0,0,4,7,0
68,21,0,0,0,0
6,22,0,6,2,0
25,4,1,7,0,0
45,12,0,1,0,1
0,1,0,0,0,0
0,0,0,0,0,0
53,16,0,3,0,0
0,0,0,6,0,0
20,3,0,3,0,0
0,0,17,11,0,0
0,0,15,0,0,0
44,15,9,0,0,0
66,25,4,0,0,0
0,0,10,5,0,0
20,3,1,0,2,1
22,6,0,0,0,0
0,0,0,0,0,0
18,0,0,0,4,0
50,16,0,0,3,0
0,0,0,0,0,0
0,0,14,0,0,0
0,0,4,0,0,0
0,1,1,0,0,0
40,17,5,0,0,0
60,15,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,6,0,0,0,0
37,7,0,7,1,0
58,18,0,3,1,0
0,0,27,0,0,0
0,0,14,0,0,0
47,11,1,0,0,0
34,10,0,0,0,0
